participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,about_rate1.response,about_rate2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item_no,item_name,condition,list,context,person_maincl_Q,person_compl_Q,block,certainty_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,certainty_Q,age_enter.text,gender_slider.response,lang_enter.text
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,,,,,,,,,,,,,,,,,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,,,,,,,,,,,,,,,,,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,,,,,,,,,,,,,,,,,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,,,,,,,,,,,,,,,,,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,"[[0,-0.25],[0,-0.08]]",0.169591708,0.512957153,0,0,0,4,1,t15,realize2.1,nc,3,Jimmy said: There was a company meeting yesterday. I heard from somebody who attended the meeting that the president started reading the names of all the people in attendance but then he suddenly stopped. We don't know why.,about the president,about the list of names,1,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,"[[0,-0.08],[0,-0.25]]",0.757292626,0.539797053,0,1,1,0,1,t23,aware2.1,nc,3,"Eleanor said: Our company was searching for a new human resources manager. The first resume that arrived was from a really well-qualified guy. We were completely baffled when our CEO immediately rejected him, and she didn't want to tell us why. ",about the CEO,about the well-qualified guy,1,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,"[[0,-0.25],[0,-0.08]]",0.17329375,0.744335416,0,2,2,9,1,f3,filler,reason_rc,3,"Matt said: Yesterday, I went to a punk concert. I didn't particularly like the music and it was very crowded. But I absolutely admired the drummer.",about the drummer,about Matt,1,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,"[[0,-0.08],[0,-0.25]]",0.258440971,0.83133372,0,3,3,11,1,f5,filler,probl_sol_rc,3,"Lisa said: On my way here, I got stuck in traffic. I was a bit impatient. I wasn't sure I would make it here on time. ",about the traffic,about Lisa,1,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,"[[0,-0.08],[0,-0.25]]",0.786909088,0.225122466,0,4,4,7,1,f1,filler,exp_salt,3,"Jane said: When I came into the shed, my bicycle was blocked. I couldn't get it out quickly enough. So I set off on the scooter.",about the scooter,about Jane,1,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,"[[0,-0.08],[0,-0.25]]",0.760994668,0.70453843,0,5,5,6,1,c2,filler,control,3,"Grace said: Last Sunday, I visited my grandma. She claimed that she's quit smoking again, but I doubt that she'll stick with it.",about Grace's grandma,about Grace's squirrel,1,,,,,,,,,,
668544,001,2023-05-30_11h05.49.278,aboutness3,2022.2.5,Win32,30.9348512,"[[0,-0.08],[0,-0.25]]",0.803568341,0.195506066,0,6,6,5,1,c1,filler,control,3,"Melody said: Last week, I went to see a movie with my friend Joy. I really liked the movie, but Joy was bothered by something.",about Joy,about Melody's nephew,1,,,,,,,,,,
