participant,session,date,expName,psychopyVersion,OS,frameRate,exp_rate1.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item_no,block,condition,context,question,list,certainty_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,target,age_enter.text,gender_slider.response,lang_enter.text
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,0.001851852,0,0,0,6,1,c2,1,control,"Grace said: Last Sunday, I visited my grandma. She claimed that she's quit smoking again, but I doubt that she'll stick with it.",about what Grace's grandma thinks about squirrels,4,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,0.92037037,0,1,1,8,1,f2,1,reason_modal,Kevin said: I will meet my friend Carol tomorrow. We will go for dinner at her favorite restaurant. With this I want to thank her with all my heart.,about why Kevin wants to thank Carol,4,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,0.897222222,0,2,2,1,1,t16,1,c,"Jimmy said: At the committee meeting yesterday, the chair started reading the names from the attendance sheet. There were over 100 names on the sheet. Then he suddenly stopped. It would have taken forever to read all the names.",about whether there was a problem with the attendance sheet,4,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,0.955555556,0,3,3,3,1,t24,1,c,"Eleanor said: Our university was searching for a new dean of research. To our great surprise, somebody on the faculty suggested Ralph Hughes, who has no managerial skills and no relevant training. Thankfully, our university president shot down the idea immediately. ",about what was wrong with Ralph Hughes,4,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,0.881481481,0,4,4,11,1,f5,1,reason_rc,"Matt said: Yesterday, I went to a punk concert. I didn't particularly like the music and it was very crowded. But I absolutely admired the drummer.",about why Matt admired the drummer,4,,,,,,,,,,
963417,001,2023-04-10_12h41.07.696,expectedness4,2022.2.5,Win32,60.0024001,0.072222222,0,5,5,4,1,t27,1,nc,"George said: The gas station across the street from my house was robbed early this morning. I didn't hear or see anything because I was still asleep when it happened. Apparently, some neighbors suspected a guy who always gets his gas there.",about where the guy was at the time of the crime,4,,,,,,,,,,
