participant,session,date,expName,psychopyVersion,OS,frameRate,exp_rate1.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item_no,block,condition,context,question,list,certainty_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,target,age_enter.text,gender_slider.response,lang_enter.text
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,,,,,,,,,,,,,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,,,,,,,,,,,,,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,,,,,,,,,,,,,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,,,,,,,,,,,,,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,0.727138643,0,0,0,4,1,t10,1,nc,"Lilly said: I'm visiting Paris right now with my sister and my girlfriend. I don't speak French but luckily they do. They asked a local guy for directions to a restaurant and I have no idea what he said. My girlfriend wanted to follow his directions, but my sister wanted to go the other way.",about whether the local gave the right directions,2,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,0.613569322,0,1,1,8,1,f2,1,reason_modal,Kevin said: I will meet my friend Carol tomorrow. We will go for dinner at her favorite restaurant. With this I want to thank her with all my heart.,about why Kevin wants to thank Carol,2,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,0.411504425,0,2,2,2,1,t6,1,nc,"George said: Randy was looking for our coworker Natalie. I didn't know where she was and so I couldn't help him. Later, I saw him leave the building.",about where Natalie was,2,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,0.803834808,0,3,3,5,1,c1,1,control,"Melody said: Last week, I went to see a movie with my friend Joy. I really liked the movie, but Joy was bothered by something.",about what Joy did not like about the movie,2,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,0.420353982,0,4,4,3,1,t7,1,c,Eleanor said: My friend Sam is a landscape architect. He just got fired from his job because he didn't keep his appointments and is generally irresponsible. Even his sister refused to hire him.,about what was wrong with Sam,2,,,,,,,,,,
366064,001,04-10-2023_12h16.18.515,expectedness2,2022.2.5,MacIntel,60.0240096,0.300884956,0,5,5,9,1,f3,1,probl_sol_rc,"Lisa said: On my way here, I got stuck in traffic. I was a bit impatient. I wasn't sure I would make it here on time. ",about what Lisa did before she got into the car,2,,,,,,,,,,
